SPION,Core size (nm),M,r1,r2,KOW,KOA,MW,AMW,Sv,Se,Sp,Ss,Mv,Me,Mp,Ms,nAT,nSK,nBT,nBO,nBM,SCBO,RBN,RBF,nH,nC,nN,nO,nS,ZM1,ZM1V,ZM2,ZM2V,Qindex,SNar,HNar,GNar,Xt,Dz,Ram,Pol,LPRS,VDA,MSD,SMTI,SMTIV,GMTI,GMTIV,Xu,SPI,W,WA,Har,Har2,QW,TI1,TI2,HyDp,RHyDp,w,ww,Rww,D/D,Wap,WhetZ,Whetm,Whetv,Whete,Whetp,J,JhetZ,Jhetm,Jhetv,Jhete,Jhetp,MAXDN,MAXDP,DELS,TIE,S0K,S1K,S2K,S3K,PHI,BLI,PW2,PW3,PW4,PW5,PJI2,CSI,ECC,AECC,DECC,MDDD,UNIP,CENT,VAR,BAC,Lop,ICR,T(O..O),T(O..S),Ui,Hy,AMR,TPSA(NO),TPSA(Tot),MLOGP,MLOGP2,ALOGP,ALOGP2,BLTF96,BLTD48,BLTA96,ALOGPS_logP,ALOGPS_logS,Category,Sub Category
PEG–2000-1 monUSPIO (Fe3O4),7.80,"46.9
",30.40,62.00,-1.36,4.25,62.08,6.21,4.82,10.31,5.19,15.00,0.48,1.03,0.52,3.75,10.00,4.00,9.00,3.00,0.00,3.00,1.00,0.11,6.00,2.00,0.00,2.00,0.00,10.00,58.00,8.00,24.00,0.00,1.39,1.33,1.41,0.85,10.00,0.00,1.00,6.36,5.00,0.53,38.00,134.00,19.00,139.00,3.16,1.89,10.00,1.67,3.61,4.33,10.00,-2.50,1.71,15.00,3.83,10.00,15.00,3.83,6.00,10.00,8.50,8.50,15.72,8.52,17.20,1.98,2.29,2.29,1.30,2.29,1.19,1.63,1.63,6.50,2.39,4.00,3.92,2.92,4.01,2.87,1.13,0.42,0.17,0.00,0.00,0.50,14.00,10.00,2.50,0.50,1.00,4.00,4.00,2.00,8.00,1.00,1.00,3.00,0.00,0.00,1.77,14.55,40.46,40.46,-1.05,1.11,-0.90,0.81,-0.49,-0.32,-0.18,-1.53,1.18,Ploymer,PEG
PЕG–2000-1 monUSPIO ,7.90,"46.6
","30.1
","107
",-1.36,4.25,62.08,6.21,4.82,10.31,5.19,15.00,0.48,1.03,0.52,3.75,10.00,4.00,9.00,3.00,0.00,3.00,1.00,0.11,6.00,2.00,0.00,2.00,0.00,10.00,58.00,8.00,24.00,0.00,1.39,1.33,1.41,0.85,10.00,0.00,1.00,6.36,5.00,0.53,38.00,134.00,19.00,139.00,3.16,1.89,10.00,1.67,3.61,4.33,10.00,-2.50,1.71,15.00,3.83,10.00,15.00,3.83,6.00,10.00,8.50,8.50,15.72,8.52,17.20,1.98,2.29,2.29,1.30,2.29,1.19,1.63,1.63,6.50,2.39,4.00,3.92,2.92,4.01,2.87,1.13,0.42,0.17,0.00,0.00,0.50,14.00,10.00,2.50,0.50,1.00,4.00,4.00,2.00,8.00,1.00,1.00,3.00,0.00,0.00,1.77,14.55,40.46,40.46,-1.05,1.11,-0.90,0.81,-0.49,-0.32,-0.18,-1.53,1.18,Ploymer,PEG
PEG–2000-5monUSPIO ,7.80,"46.9
",30.40,"62
",-2.30,10.21,238.32,6.27,19.65,38.68,21.10,41.00,0.52,1.02,0.56,2.56,38.00,16.00,37.00,15.00,0.00,15.00,13.00,0.35,22.00,10.00,0.00,6.00,0.00,58.00,234.00,56.00,136.00,0.00,9.70,1.78,1.83,0.32,38.00,0.00,13.00,70.71,85.00,0.44,2538.00,4874.00,2255.00,7895.00,17.83,7.47,680.00,5.67,21.97,38.09,680.00,-38.12,6.51,3060.00,25.24,680.00,3060.00,25.24,120.00,680.00,567.50,567.79,1109.25,569.03,1220.10,2.83,3.39,3.39,1.73,3.38,1.58,1.46,2.41,22.42,50.27,48.00,15.77,14.77,14.85,14.55,1.09,0.48,0.24,0.11,0.06,0.88,338.00,184.00,11.50,2.00,16.25,64.00,336.00,56.00,32.00,3.00,3.00,105.00,0.00,0.00,0.57,58.73,77.38,77.38,-1.19,1.42,-1.42,2.02,-0.38,-0.19,-0.04,-0.82,-1.18,Ploymer,PEG
PЕG–2000-1 monUSPIO ,7. 7,"50.2
","31.9
",74.00,-1.36,4.25,62.08,6.21,4.82,10.31,5.19,15.00,0.48,1.03,0.52,3.75,10.00,4.00,9.00,3.00,0.00,3.00,1.00,0.11,6.00,2.00,0.00,2.00,0.00,10.00,58.00,8.00,24.00,0.00,1.39,1.33,1.41,0.85,10.00,0.00,1.00,6.36,5.00,0.53,38.00,134.00,19.00,139.00,3.16,1.89,10.00,1.67,3.61,4.33,10.00,-2.50,1.71,15.00,3.83,10.00,15.00,3.83,6.00,10.00,8.50,8.50,15.72,8.52,17.20,1.98,2.29,2.29,1.30,2.29,1.19,1.63,1.63,6.50,2.39,4.00,3.92,2.92,4.01,2.87,1.13,0.42,0.17,0.00,0.00,0.50,14.00,10.00,2.50,0.50,1.00,4.00,4.00,2.00,8.00,1.00,1.00,3.00,0.00,0.00,1.77,14.55,40.46,40.46,-1.05,1.11,-0.90,0.81,-0.49,-0.32,-0.18,-1.53,1.18,Ploymer,PEG
PЕG–2000-3 monUSPIO ,7. 7,"50.2
","31.9
",74.00,-1.75,7.14,150.20,6.26,12.23,24.49,13.15,28.00,0.51,1.02,0.55,2.80,24.00,10.00,23.00,9.00,0.00,9.00,7.00,0.30,14.00,6.00,0.00,4.00,0.00,34.00,146.00,32.00,80.00,0.00,5.55,1.67,1.74,0.43,24.00,0.00,7.00,34.73,33.00,0.45,604.00,1292.00,489.00,1977.00,11.05,5.06,165.00,3.67,12.57,19.29,165.00,-15.10,4.09,495.00,14.14,165.00,495.00,14.14,45.00,165.00,138.00,138.07,268.02,138.37,294.62,2.65,3.17,3.17,1.63,3.16,1.48,1.46,2.26,14.54,19.03,23.22,9.84,8.84,8.99,8.71,1.10,0.47,0.23,0.11,0.05,0.80,122.00,70.00,7.00,1.20,6.40,25.00,80.00,20.00,20.00,2.32,2.32,30.00,0.00,0.00,0.84,36.64,58.92,58.92,-0.94,0.88,-1.16,1.34,-0.59,-0.43,-0.29,-1.12,0.35,Ploymer,PEG
PЕG–2000-5 monUSPIO ,7. 7,"50.2
","31.9
",74.00,-2.30,10.21,238.32,6.27,19.65,38.68,21.10,41.00,0.52,1.02,0.56,2.56,38.00,16.00,37.00,15.00,0.00,15.00,13.00,0.35,22.00,10.00,0.00,6.00,0.00,58.00,234.00,56.00,136.00,0.00,9.70,1.78,1.83,0.32,38.00,0.00,13.00,70.71,85.00,0.44,2538.00,4874.00,2255.00,7895.00,17.83,7.47,680.00,5.67,21.97,38.09,680.00,-38.12,6.51,3060.00,25.24,680.00,3060.00,25.24,120.00,680.00,567.50,567.79,1109.25,569.03,1220.10,2.83,3.39,3.39,1.73,3.38,1.58,1.46,2.41,22.42,50.27,48.00,15.77,14.77,14.85,14.55,1.09,0.48,0.24,0.11,0.06,0.88,338.00,184.00,11.50,2.00,16.25,64.00,336.00,56.00,32.00,3.00,3.00,105.00,0.00,0.00,0.57,58.73,77.38,77.38,-1.19,1.42,-1.42,2.02,-0.38,-0.19,-0.04,-0.82,-1.18,Ploymer,PEG
"PEG/PEI-1monSPIONs–PEI@PEG
(200◦C)",6.80,20.00,3.10,59.00,-1.36,4.25,62.08,6.21,4.82,10.31,5.19,15.00,0.48,1.03,0.52,3.75,10.00,4.00,9.00,3.00,0.00,3.00,1.00,0.11,6.00,2.00,0.00,2.00,0.00,10.00,58.00,8.00,24.00,0.00,1.39,1.33,1.41,0.85,10.00,0.00,1.00,6.36,5.00,0.53,38.00,134.00,19.00,139.00,3.16,1.89,10.00,1.67,3.61,4.33,10.00,-2.50,1.71,15.00,3.83,10.00,15.00,3.83,6.00,10.00,8.50,8.50,15.72,8.52,17.20,1.98,2.29,2.29,1.30,2.29,1.19,1.63,1.63,6.50,2.39,4.00,3.92,2.92,4.01,2.87,1.13,0.42,0.17,0.00,0.00,0.50,14.00,10.00,2.50,0.50,1.00,4.00,4.00,2.00,8.00,1.00,1.00,3.00,0.00,0.00,1.77,14.55,40.46,40.46,-1.05,1.11,-0.90,0.81,-0.49,-0.32,-0.18,-1.53,1.18,Ploymer,PEG
"PEG/PEI-3monSPIONs–PEI@PEG
(200◦C)",6.80,21.00,3.10,59.00,-1.75,7.14,150.20,6.26,12.23,24.49,13.15,28.00,0.51,1.02,0.55,2.80,24.00,10.00,23.00,9.00,0.00,9.00,7.00,0.30,14.00,6.00,0.00,4.00,0.00,34.00,146.00,32.00,80.00,0.00,5.55,1.67,1.74,0.43,24.00,0.00,7.00,34.73,33.00,0.45,604.00,1292.00,489.00,1977.00,11.05,5.06,165.00,3.67,12.57,19.29,165.00,-15.10,4.09,495.00,14.14,165.00,495.00,14.14,45.00,165.00,138.00,138.07,268.02,138.37,294.62,2.65,3.17,3.17,1.63,3.16,1.48,1.46,2.26,14.54,19.03,23.22,9.84,8.84,8.99,8.71,1.10,0.47,0.23,0.11,0.05,0.80,122.00,70.00,7.00,1.20,6.40,25.00,80.00,20.00,20.00,2.32,2.32,30.00,0.00,0.00,0.84,36.64,58.92,58.92,-0.94,0.88,-1.16,1.34,-0.59,-0.43,-0.29,-1.12,0.35,Ploymer,PEG
"PEG/PEI-1 monSPIONs–PEI@PEG
(260◦C)",10.00,23.00,1.70,143.00,-1.36,4.25,62.08,6.21,4.82,10.31,5.19,15.00,0.48,1.03,0.52,3.75,10.00,4.00,9.00,3.00,0.00,3.00,1.00,0.11,6.00,2.00,0.00,2.00,0.00,10.00,58.00,8.00,24.00,0.00,1.39,1.33,1.41,0.85,10.00,0.00,1.00,6.36,5.00,0.53,38.00,134.00,19.00,139.00,3.16,1.89,10.00,1.67,3.61,4.33,10.00,-2.50,1.71,15.00,3.83,10.00,15.00,3.83,6.00,10.00,8.50,8.50,15.72,8.52,17.20,1.98,2.29,2.29,1.30,2.29,1.19,1.63,1.63,6.50,2.39,4.00,3.92,2.92,4.01,2.87,1.13,0.42,0.17,0.00,0.00,0.50,14.00,10.00,2.50,0.50,1.00,4.00,4.00,2.00,8.00,1.00,1.00,3.00,0.00,0.00,1.77,14.55,40.46,40.46,-1.05,1.11,-0.90,0.81,-0.49,-0.32,-0.18,-1.53,1.18,Ploymer,PEG
"PEG/PEI-3 monSPIONs–PEI@PEG
(260◦C)",10.00,22.00,1.70,143.00,-1.75,7.14,150.20,6.26,12.23,24.49,13.15,28.00,0.51,1.02,0.55,2.80,24.00,10.00,23.00,9.00,0.00,9.00,7.00,0.30,14.00,6.00,0.00,4.00,0.00,34.00,146.00,32.00,80.00,0.00,5.55,1.67,1.74,0.43,24.00,0.00,7.00,34.73,33.00,0.45,604.00,1292.00,489.00,1977.00,11.05,5.06,165.00,3.67,12.57,19.29,165.00,-15.10,4.09,495.00,14.14,165.00,495.00,14.14,45.00,165.00,138.00,138.07,268.02,138.37,294.62,2.65,3.17,3.17,1.63,3.16,1.48,1.46,2.26,14.54,19.03,23.22,9.84,8.84,8.99,8.71,1.10,0.47,0.23,0.11,0.05,0.80,122.00,70.00,7.00,1.20,6.40,25.00,80.00,20.00,20.00,2.32,2.32,30.00,0.00,0.00,0.84,36.64,58.92,58.92,-0.94,0.88,-1.16,1.34,-0.59,-0.43,-0.29,-1.12,0.35,Ploymer,PEG
